sentence,source,class
"Well packaged, arrived on time, and works as intended.",amazon,positive
The battery runs down quickly.,amazon,negative
"This item worked great, but it broke after 6 months of use.",amazon,negative
The headsets are easy to use and everyone loves them.,amazon,positive
This phone works great.,amazon,positive
The construction of the headsets is poor.,amazon,negative
Product was excellent and works better than the verizon one and Boy was it cheaper!,amazon,positive
The phone loads super!,amazon,positive
"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",amazon,negative
Made very sturdy.,amazon,positive
Worked great!.,amazon,positive
The ear buds only play music in one ear.,amazon,negative
Dont waste your money...,amazon,negative
Will order from them again!,amazon,positive
If you plan to use this in a car forget about it.,amazon,negative
I found this product to be waaay too big.,amazon,negative
Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,amazon,positive
I'm very disappointed with my decision.,amazon,negative
Integrated seamlessly with the Motorola RAZR phone.,amazon,positive
"Buyer Beware, you could flush money right down the toilet.",amazon,negative
Definitely a bargain.,amazon,positive
The price was very good and with the free shipping and all it was a good purchase.,amazon,positive
I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,amazon,negative
"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",amazon,positive
"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",amazon,negative
"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",amazon,positive
"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",amazon,negative
I purcashed this for the car charger and it does not work.,amazon,negative
"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",amazon,positive
This phone is slim and light and the display is beautiful.,amazon,positive
its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,amazon,positive
"Great product, fast shipping!.",amazon,positive
Absolutely great.,amazon,positive
The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,amazon,positive
i got this phone around the end of may and i'm completely unhappy with it.,amazon,negative
It is very comfortable on the ear.,amazon,positive
It has been a winner for us.,amazon,positive
)Setup couldn't have been simpler.,amazon,positive
I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,amazon,positive
Could not get strong enough signal.,amazon,negative
Iam very pleased with my purchase.,amazon,positive
Bad Quality.,amazon,negative
Gets the job done.,amazon,positive
Great audio!.,amazon,positive
Basically the service was very bad.,amazon,negative
it did not work in my cell phone plug i am very up set with the charger!.,amazon,negative
"I've only had my bluetooth for a few weeks, but I really like it.",amazon,positive
The BT headset was such a disapoinment.,amazon,negative
It is so small and you don't even realize that it is there after a while of getting used to it.,amazon,positive
The accompanied software is almost brilliant.,amazon,positive
Headset works great & was packaged nicely to avoid any damage.,amazon,positive
!I definitly recommend!!,amazon,positive
Buyer--Be Very Careful!!!!!.,amazon,negative
The majority of the Logitech earbud headsets failed.,amazon,negative
Very good stuff for the price.,amazon,positive
My headset works just peachy-keen.,amazon,positive
In my house I was getting dropped coverage upstairs and no coverage in my basement.,amazon,negative
Voice recognition is tremendous!,amazon,positive
What a waste.,amazon,negative
"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",amazon,negative
I was not happy with this item.,amazon,negative
very disappointed.,amazon,negative
The phone takes FOREVER to charge like 2 to 5 hours literally.,amazon,negative
I got this phone on reccomendation from a relative and I'm glad I did.,amazon,positive
What a waste of time!,amazon,negative
Its reception is very very poor.,amazon,negative
Items stated as included from the description ARE NOT INCLUDED.,amazon,negative
"After 3 months, screen just went black all of a sudden.",amazon,negative
I Was Hoping for More.,amazon,negative
"Audio Quality is poor, very poor.",amazon,negative
I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,amazon,positive
"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",amazon,positive
I've bought $5 wired headphones that sound better than these.,amazon,negative
This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,amazon,positive
"Nice quality build, unlike some cheap s*** out there.",amazon,positive
This item is fantastic and works perfectly!,amazon,positive
And I just love the colors!,amazon,positive
W810i is just SUPERB.,amazon,positive
"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",amazon,negative
Great charger.,amazon,positive
This is essentially a communications tool that does not communicate.,amazon,negative
Works like a charm; it work the same as the one I got with the phone.,amazon,positive
"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",amazon,negative
Great Value.,amazon,positive
Doesn't work at all.. I bougth it for my L7c and its not working.,amazon,negative
"The look of it is very sharp and the screen is nice and clear, with great graphics.",amazon,positive
doesn't last long.,amazon,negative
One thing I hate is the mode set button at the side.,amazon,negative
EXCELLENT SERVICE!!!!!!!!.,amazon,positive
Thank you for wasting my money.,amazon,negative
How can that be?The audio quality is poor.,amazon,negative
The iGo chargers and tips are really great.,amazon,positive
The file browser offers all the options that one needs.Handsfree is great.,amazon,positive
Superb Phone on a Great Network.,amazon,positive
"I connected my wife's bluetooth,(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.",amazon,positive
"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",amazon,negative
It only recognizes the Phone as its storage device.,amazon,negative
"If you like a loud buzzing to override all your conversations, then this phone is for you!",amazon,negative
Don't buy this product.,amazon,negative
I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,amazon,negative
The sound quality is good and functionality is awesome.,amazon,positive
"I have this phone and it is a thorn in my side, I really abhor it.",amazon,negative
I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,amazon,negative
Incredible!.,amazon,positive
Design Flaw?.,amazon,negative
Great phone!.,amazon,positive
Waste of 13 bucks.,amazon,negative
"But when I check voice mail at night, the keypad backlight turns off a few seconds into the first message, and then I'm lost.",amazon,negative
The replacement died in a few weeks.,amazon,negative
Any ring tone..Overall good phone to buy..,amazon,positive
Lately they have been extremely nice and helpful on the phone.,amazon,positive
I have had problems wit hit dropping signal and more.,amazon,negative
Not impressed.,amazon,negative
"Light weight, I hardly notice it is there.",amazon,positive
You'll love how thin it is.,amazon,positive
Bad Choice.,amazon,negative
The pleather case doesn't fit.,amazon,negative
"useless phone, simply deaf.",amazon,negative
"The color is even prettier than I thought it would be, and the graphics are incredibly sharp.",amazon,positive
All in all I think it was a good investment.,amazon,positive
It makes very strange ticking noises before it ends the call.,amazon,negative
The best electronics of the available FM Transmitters.,amazon,positive
Battery lasts only a few hours.,amazon,negative
"great headset, very impressed - H500.",amazon,positive
"The ""1.2"" mega pixel camera, being a part of a phone, is reasonably good7.",amazon,positive
I've had this for nearly 2 years and it has worked great for me.,amazon,positive
Good transmit audio.,amazon,positive
We are sending it back.,amazon,negative
I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,amazon,negative
"If you hate earbugs, avoid this phone by all means.",amazon,negative
Great price also!,amazon,positive
"The range is very decent, I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.",amazon,positive
fast service.,amazon,positive
I would highly recommend this.,amazon,positive
I would recommend this.,amazon,positive
"I also didn't like the ""on"" button, it felt like it would crack with use.",amazon,negative
WORST PHONE EVER.,amazon,negative
I'm still infatuated with this phone.,amazon,positive
Freezes frequently4.,amazon,negative
It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,amazon,negative
"Simple, lightweight and great fit.",amazon,positive
"All in all, I'd expected a better consumer experience from Motorola.",amazon,negative
There's a horrible tick sound in the background on all my calls that I have never experienced before.,amazon,negative
These are certainly very comfortable and functionality is decent.,amazon,positive
I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,amazon,positive
I'm a bit disappointed.,amazon,negative
"I have had this phone for over a year now, and I will tell you, its not that great.",amazon,negative
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,amazon,negative
The battery is completely useless to me.,amazon,negative
What a big waste of time.,amazon,negative
Don't waste your $$$ on this one.,amazon,negative
Great sound and service.,amazon,positive
Really pleased with this product so far.,amazon,positive
One of my favorite purchases ever.,amazon,positive
best bluetooth on the market.,amazon,positive
Authentic leather with nice shine and comfort .I recommend you this case !!,amazon,positive
I was very excited to get this headset because I thought it was really cute.,amazon,positive
Do not make the same mistake as me.,amazon,negative
Big Disappointment with calendar sync.,amazon,negative
the phone was unusable and was not new.,amazon,negative
Worst Customer Service Ever.,amazon,negative
"No additional ear gels provided, and no instructions whatsoever.",amazon,negative
It defeats the purpose of a bluetooth headset.,amazon,negative
Worth every penny.,amazon,positive
Excellent wallet type phone case.,amazon,positive
Nice headphones for the price and they work great!,amazon,positive
Internet is excrutiatingly slow.,amazon,negative
"It is very comfortable to wear as well, which is probably the most important aspect about using a case.",amazon,positive
"It's fits like a glove and is strong, secure, and durable.",amazon,positive
O my gosh the best phone I have ever had.,amazon,positive
It's very attractive and appears to be of good quality.,amazon,positive
I love all the features and form factor.,amazon,positive
This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,amazon,negative
poor quality and service.,amazon,negative
"The cable looks so thin and flimsy, it is scary.",amazon,negative
Great Earpiece.,amazon,positive
Excellent hands free tool.,amazon,positive
Great for using with your home stereo.,amazon,positive
Good product - incredible value.,amazon,positive
Only had this a month but it's worked flawlessly so far.,amazon,positive
Works great.,amazon,positive
Absolutel junk.,amazon,negative
THAT one didn't work either.,amazon,negative
Battery life is real good.,amazon,positive
Returned 8 hours later.,amazon,negative
It's a great item.,amazon,positive
Don't waste your money!.,amazon,negative
Love this headset!,amazon,positive
"Not only will it drain your player, but may also potentially fry it.",amazon,negative
Worked perfectly!,amazon,positive
Unreliable - I'm giving up.,amazon,negative
I gave it 5 stars because of the sound quality.,amazon,positive
Avoid this one if you can.,amazon,negative
Reversible plug works great.,amazon,positive
I wasted my little money with this earpiece.,amazon,negative
Very good phone.,amazon,positive
"Best of all is the rotating feature, very helpful.",amazon,positive
Comfort for our whole family.,amazon,positive
"Good product, good seller.",amazon,positive
I love this bluetooth!,amazon,positive
"First of all, it doesn't wear well.",amazon,negative
I am very impressed with this headset from Plantronics.,amazon,positive
I got it because it was so small and adorable.,amazon,positive
Great phone!.,amazon,positive
I wouldn't recommend buying this product.,amazon,negative
Piece of Junk.,amazon,negative
Poorly contstruct hinge.,amazon,negative
"This item is great, installed it, let it charged up overnite and it has been working good every since with no problems",amazon,positive
Great Phone.,amazon,positive
Don't buy it.,amazon,negative
Excellent Phone.,amazon,positive
DO NOT PURCHASE THIS PHONE.,amazon,negative
The voice recognition thru the handset is excellent.,amazon,positive
This is hands down the best phone I've ever had.,amazon,positive
"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",amazon,positive
This one works and was priced right.,amazon,positive
Customer service was terrible.,amazon,negative
Battery life still not long enough in Motorola Razor V3i.,amazon,negative
Sending it back.,amazon,negative
Now I know that I made a wise decision.,amazon,positive
Someone shouldve invented this sooner.,amazon,positive
Good price.,amazon,positive
Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,amazon,positive
I received it quickly and it works great!!,amazon,positive
Has been working great.,amazon,positive
"As many people complained, I found this headset's microphone was very weak.",amazon,negative
My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,amazon,negative
They do not care about the consumer one bit.,amazon,negative
"This is a good battery, and it got here really fast.",amazon,positive
The instruction manual is lacking.,amazon,negative
Also its slim enough to fit into my alarm clock docking station without removing the case.,amazon,positive
Phone now holds charge like it did when it was new.,amazon,positive
The battery is unreliable as well as the service use antena.,amazon,negative
It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,amazon,negative
We have gotten a lot of compliments on it.,amazon,positive
This is definitely a must have if your state does not allow cell phone usage while driving.,amazon,positive
I want my money back.,amazon,negative
I love this device.,amazon,positive
I am also very happy with the price.,amazon,positive
I ordered this product first and was unhappy with it immediately.,amazon,negative
The Ngage is still lacking in earbuds.,amazon,negative
I was able to do voice dialing in the car with no problem.,amazon,positive
"I have 2-3 bars on my cell phone when I am home, but you cant not hear anything.",amazon,negative
"good item, low price.",amazon,positive
"However-the riingtones are not the best, and neither are the games.",amazon,negative
The plug did not work very well.,amazon,negative
AMAZON SUCKS.,amazon,negative
Rip off---- Over charge shipping.,amazon,negative
VERY comfortable.,amazon,positive
The battery is working well as a replacement for the original that came with the phone over 2 years ago.,amazon,positive
The reception is excellent!,amazon,positive
"It fits comfortably in either ear, the sound is clear and loud, and the charge lasts a couple of days.",amazon,positive
"very clear, quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.",amazon,positive
1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,amazon,negative
Obviously there is a problem with the adhesive.,amazon,negative
Very disappointing.,amazon,negative
"It was an inexpensive piece, but I would still have expected better quality.",amazon,negative
It is practically useless and did not add any kind of boost to my reception after I bought it.,amazon,negative
Excellent sound quality.,amazon,positive
Was not happy.,amazon,negative
A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,amazon,negative
New Battery works great in phone.,amazon,positive
Worst customer service.,amazon,negative
"I've dropped my phone more times than I can say, even on concrete and my phone is still great (knock on wood!).",amazon,positive
Reception is terrible and full of static.,amazon,negative
Good audio quality.,amazon,positive
This little device has transformed my organizational capability and made my life a whole lot easier.,amazon,positive
"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",amazon,negative
Were JERKS on the phone.,amazon,negative
Works like a charm.. Works as advertised.,amazon,positive
"Comfortable, Nice Range, Good Battery Life.",amazon,positive
Their network coverage in Los Angeles is horrible.,amazon,negative
Excellent starter wireless headset.,amazon,negative
"The loudspeaker option is great, the bumpers with the lights is very ... appealing.",amazon,negative
The only thing that I think could improve is the sound leaks out from the headset.,amazon,negative
"First off the reception sucks, I have never had more than 2 bars, ever.",amazon,negative
The phone gets EXTREMELY HOT!,amazon,negative
"The microphone also works well, but (according to people I have called) it applifies everything.",amazon,positive
Nice design and quality.,amazon,positive
"Also, if your phone is dropped, this case is not going to save it, specially when dropped face down.",amazon,negative
"It is light, easy to use, and has very clear reception and transmission.",amazon,positive
"bad fit, way too big.",amazon,negative
It definitely was not as good as my S11.,amazon,positive
awesome device.,amazon,positive
Waste of money.,amazon,negative
"I had ordered a motorola data cable, got a very well finished and working product.",amazon,positive
Love This Phone.,amazon,positive
I was looking for this headset for a long time and now that I've got it I couldn't be happier.,amazon,positive
"I'll be drivng along, and my headset starts ringing for no reason.",amazon,negative
Display is excellent and camera is as good as any from that year.,amazon,positive
Battery life is also great!,amazon,positive
The worst phone I've ever had.... Only had it for a few months.,amazon,negative
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,amazon,negative
This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,amazon,negative
Protects the phone on all sides.,amazon,positive
This is a VERY average phone with bad battery life that operates on a weak network.,amazon,negative
"Clear Skype Calls, Long Battery Life, Long Range.",amazon,positive
Soyo technology sucks.,amazon,negative
Great Hands Free Device.,amazon,positive
"you can even take self portraits with the outside (exterior) display, very cool.",amazon,positive
Same problem as others have mentioned.,amazon,negative
After trying many many handsfree gadgets this is the one that finally works well.,amazon,positive
Magical Help.,amazon,positive
The worst piece of crap ever along with the Verizon customer service.,amazon,negative
Poor sound quality.,amazon,negative
The best phone in market :).,amazon,positive
It worked very well.,amazon,positive
The company shipped my product very promptly and it works well.,amazon,positive
Exactly what I wanted.,amazon,positive
The picture resolution is far below what other comparably-priced phones are offering today.,amazon,negative
This is a great deal.,amazon,positive
"Excellent product, I am very satisfied with the purchase.",amazon,positive
I highly recommend these and encourage people to give them a try.,amazon,positive
Better than you'd expect.,amazon,positive
"Using all earpieces, left or right, this thing will not stay on my ear.",amazon,negative
Great product and price.,amazon,positive
"Sounds good reasonably priced and effective, Its that simple !",amazon,positive
Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,amazon,negative
what a disappointment,amazon,negative
Very prompt service.,amazon,positive
Excellent product for the price.,amazon,positive
Very pleased with this headset.,amazon,positive
don't waste your money and time.,amazon,negative
I especially love the long battery life.,amazon,positive
"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",amazon,negative
Works great.,amazon,positive
Plantronics Bluetooth Excelent Buy.,amazon,positive
I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,amazon,negative
I'll be looking for a new earpiece.,amazon,negative
I highly recommend this device to everyone!,amazon,positive
Jawbone Era is awesome too!,amazon,positive
We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,amazon,negative
After a year the battery went completely dead on my headset.,amazon,negative
"I have used several phone in two years, but this one is the best.",amazon,positive
An Awesome New Look For Fall 2000!.,amazon,positive
This is the first phone I've had that has been so cheaply made.,amazon,negative
"Att is not clear, sound is very distorted and you have to yell when you talk.",amazon,negative
The plastic breaks really easy on this clip.,amazon,negative
Price is good too.,amazon,positive
Don't make the same mistake I did.,amazon,negative
Oh and I forgot to also mention the weird color effect it has on your phone.,amazon,negative
I'm using it with an iriver SPINN (with case) and it fits fine.,amazon,positive
Also the area where my unit broke).- I'm not too fond of the magnetic strap.,amazon,negative
"Overall, I am psyched to have a phone which has all my appointments and contacts in and gets great reception.",amazon,positive
"every thing on phone work perfectly, she like it.",amazon,positive
"Another note about this phone's appearance is that it really looks rather bland, especially in the all black model.",amazon,negative
IT'S REALLY EASY.,amazon,positive
My Sanyo has survived dozens of drops on blacktop without ill effect.,amazon,positive
Fantastic earphones.,amazon,positive
It finds my cell phone right away when I enter the car.,amazon,positive
Low Quality.,amazon,negative
I highly recommend this modest priced cellular phone.,amazon,positive
But it does get better reception and clarity than any phone I've had before.,amazon,positive
Warning - Stay away.,amazon,negative
I wish I could return the unit and get back my money.,amazon,negative
Awsome Device Works Great!!.,amazon,positive
I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,amazon,negative
"If you don't find it, too bad, as again the unit comes with one earpad only.I would not recommend this to anyone.",amazon,negative
Very Displeased.,amazon,negative
"I might have gotten a defect, but I would not risk buying it again because of the built quality alone.",amazon,negative
They made this case too small and is very difficult to install.,amazon,negative
Restored my phone to like new performance.,amazon,positive
"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",amazon,positive
"I searched the Internet, and found this one to be the best value.",amazon,positive
Does not fit.,amazon,negative
Very happy with this product.,amazon,positive
"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",amazon,positive
There's really nothing bad I can say about this headset.,amazon,negative
"i'm glad i found this product on amazon it is hard to find, it wasn't high priced.",amazon,positive
Portable and it works.,amazon,positive
"My colleague & I now get great reception.A little expensive, but performance is great.",amazon,positive
I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,amazon,negative
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,amazon,negative
Not good when wearing a hat or sunglasses.,amazon,negative
Timely shipment and quality product.,amazon,positive
Nice solid keyboard.,amazon,positive
Very well made and fits my Surefire GX2 perfectly.,amazon,positive
Horrible phone.,amazon,negative
BT50 battery junk!.,amazon,negative
We would recommend these to others.,amazon,positive
Cant get the software to work with my computer.,amazon,negative
Disappointed!.,amazon,negative
poor voice clarity.,amazon,negative
The battery works great!,amazon,positive
No buyers remorse on this one!.,amazon,negative
Very disappointed in AccessoryOne.,amazon,negative
I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,amazon,negative
"Looks great and is strong.""",amazon,positive
"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",amazon,positive
The update procedure is difficult and cumbersome.,amazon,negative
Disappointment.. I hate anything that goes in my ear.,amazon,negative
Great software for Motorolas.,amazon,positive
The delivery was on time.,amazon,positive
Very easy to use.,amazon,positive
"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",amazon,negative
The volume switch rocketed out of the unit to a destination unknown.,amazon,negative
"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",amazon,positive
I'd like to return it.,amazon,negative
The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,amazon,positive
"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",amazon,negative
"After charging overnight, these batteries work great.",amazon,positive
You won't regret it!,amazon,positive
I love this phone!.,amazon,positive
A Disappointment.,amazon,negative
Its not user friendly.,amazon,negative
Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,amazon,negative
"Then I exchanged for the same phone, even that had the same problem.",amazon,negative
This results in the phone being either stuck at max volume or mute.,amazon,negative
This PDA rocks.,amazon,positive
"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",amazon,positive
"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",amazon,positive
I had Verizon 2 years ago and really liked their service.,amazon,positive
Pretty piece of junk.,amazon,negative
Plug was the wrong size.,amazon,negative
Works as described.,amazon,positive
Save your money.... I've had this item for 11 months now.,amazon,negative
Bad Purchase.,amazon,negative
WELL IM SATISFIED.,amazon,positive
"The bose noise cancelling is amazing, which is very important for a NYC commuter.",amazon,positive
This battery is an excellent bargain!,amazon,positive
Defective crap.,amazon,negative
I would have given no star if I was able.,amazon,negative
I wear glasses and it fits fine with them.,amazon,positive
"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",amazon,negative
I would not recommend this item to anyone.,amazon,negative
The holster that arrived did not match the photo in the ad.,amazon,negative
great...no problems at all!.,amazon,positive
"As an earlier review noted, plug in this charger and nothing happens.",amazon,negative
This frog phone charm is adorable and very eye catching.,amazon,positive
You never know if you pushed it hard enough or the right number of times for the function you want or not.,amazon,negative
The sound is clear and the people I talk to on it are amazed at the quality too.,amazon,positive
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,amazon,positive
"very good product, well made.",amazon,positive
Mobile Phone Tools are a must have.,amazon,positive
I am very impressed with the job that Motorola did on the sturdiness of this phone.,amazon,positive
"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",amazon,positive
The phone is sturdy and waterproof.,amazon,positive
I am not impressed with this and i would not recommend this item to anyone.,amazon,negative
My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),amazon,negative
Thanks again to Amazon for having the things I need for a good price!,amazon,positive
I ended up sliding it on the edge of my pants or back pockets instead.,amazon,positive
I had to go to a store and bought a new NOKIA phone which is working great.,amazon,positive
Works great!.,amazon,positive
REALLY UGLY.,amazon,negative
"horrible, had to switch 3 times.",amazon,negative
The noise shield is incrediable.,amazon,positive
No real improvement.,amazon,negative
Razr Battery - Good buy.,amazon,positive
Keep up the good work Amazon!!,amazon,positive
They refuse to refund or replace.,amazon,negative
Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,amazon,negative
So I basically threw my money out the window for nothing.,amazon,negative
Great case and price!,amazon,positive
All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,amazon,negative
"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",amazon,positive
"Small, sleek, impressive looking, practical setup with ample storage in place.",amazon,positive
The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,amazon,positive
none of the new ones have ever quite worked properly.,amazon,negative
I am glad I purchased it.,amazon,positive
